keyword,sellers_number
flowers fresh,27832
fresh flowers,1000
apple tablet,125332
apple ipad,453
ipads,453
ipad 10,569
????? 11,14364
????? ???,14400
ipad pro m2,1354
ipad 2025,997
ipad air m2,1309
ipad 11th generation,1026
ipad a16,1211
ipad air 13 inch,834
gold bar,4981
gold bar 24k,1833
????? ??? ???? 24,14382
silver bar,4633
silver,320305
watch box,5496
keychain,1489
kitchen cabinet,1828
coffee corner,1882
stainless steel cookware,931
dolce and gabbana perfumes,715
perfume men,477
versace,770
versace perfume,817
armani perfume,569
playstation,19950
ps5 disc version,1020
????????? 5,14400
???? 5,1161
ps5 slim,1510
playstation 5 pro,1958
???? ???? 5,848
ps5 accessories,13965
psp,1828
playstation 5 controller,2192
furniture,209095
sofa 2 seater,1999
couch,1000
danube,4671
sofa set,8533
sofa cum bed,1948
??????,13016
???? ???????,2
home,1603
?????,15
????? ????,15
flormar,1804
lip tint,1883
lipstick maybelline,220
lip liner,1871
maybelline lipstick,1894
maybelline,886
top,1127
blouse,622
shirt,278951
shirts for ladies,1917
t shirt for ladies,1917
mens shirt,789
full sleeve t shirt men,604
men shirt,789
blouse for ladies,346
shirts for men casual,637
white shirt men,28491
formal shirt men,2287
pencil case black,6702
handbag for men,15811
makeup remover,19185
micellar water,1759
???? ???,4062
bioderma,831
cleanser,774
face wash for men,807
garnier,1009
neutrogena face wash,810
cerave cleanser,856
cetaphil face wash,1544
cetaphil gentle skin cleanser,7363
neutrogena,1911
garnier face wash,830
safety shoes,2907
safety shoes for men lightweight,9263
????? ????? ??????,15
hair trimmer men,910
?????? ????? ??????,15
shaving machine for men,5590
beard trimmer,3722
shaver for men,1692
shaver,775
braun trimmer,836
philips trimmer,791
nose trimmer,1596
panasonic trimmer,1399
boxing,406301
shorts for ladies,3177
shorts for mens,305
swimming shorts men,230
gym belt for men,1207
gel nail polish,1975
nails,948
press on nails,9294
?????,15
nail cutter,1910
nail glue,8118
fish,13214
candles,46658
pandora,1077
ring,224102
tissue paper,14236
setting spray,1840
primer,8068
charlotte tilbury,1710
hair spray,10209
sugar test machine,1593
pregnancy test kit,1131
pregnancy test,812
blood pressure monitor,2545
blood pressure monitor machine,2551
ovulation test kit,1684
chocolates offer packs,1800
canvas,1755
comfort,900
cat bed,1398
litter box,2052
cat litter box,2052
pencil case for girls,989
????? ??????,15
smiggle,1947
sharpener,8873
????? ??????,15
??? ??????,5726
school bag for boys,10711
back to school,3443
fountain pen,801
parker pen,1406
pencil,85764
cat house,980
plastic container,1822
disposable plates,1833
straw,65891
women dress,673
ladies dress,673
maxi dress,351
white dress,727
ginger,376
mango,432
skirt for ladies,714
party dress for ladies,1405
play doh,1539
laptop bag for ladies,1032
lamp,831
ceiling light,1564
?????,15
chandelier,1889
door seal strip,3457
sewing machine,1072
hand mixer,1554
iron steam,626
coffee maker,1553
mixer,15980
?????,15
steam iron,736
espresso machine,11415
????? ?????,15
shoes cabinet,991
shoe cabinet,1956
blackout curtain,25242
curtains,1489
table cover,30397
nighty dress ladies,690
vegetables,10868
spices organizer,919
walking pad,2108
???? ???,4062
treadmill machine,1715
treadmill,1693
gym equipment,1133
gym,691
????,12984
pull up bar,604
vacuum storage bags,1442
???? ???,4062
sunscreen for men,938
tinted sunscreen,2061
reginald men sunscreen,6
eucerin sunscreen,883
eucerin,648
la roche posay sunscreen,1840
dot and key sunscreen,1909
derma co sunscreen,955
tablets,36566
?????,15
android tablet,11493
tablets with sim and wifi,1356
pad,1741
tablet with pen,840
tablet with keyboard,1531
huawei tablet,46075
honor tablet,513
honor pad,4893
huawei matepad,28917
????? ???????,0
????? ???????,0
tablet samsung,78478
honor pad 10,2049
samsung tab,653
honor pad 9,548
mobile stand,215384
phone holder,972
phone stand,215384
monitor stand,766
tripod,1909
tripod for iphone,3940
bed table,1788
eye mask,1885
wet wipes,7635
baby wipes,740
paper,1665
wipes,1636
paneer,401
???? ??????,4831
beard oil,1784
argan oil,1725
radio,55704
marshall,3010
marshall speaker,688
speakers bluetooth portable,18477
home theatre,869
chicken fresh,1635
piano,10930
home theater,590
soundbar with subwoofer,798
alexa,3232
sound bar,1400
candy,14568
cigarette,1441
electric guitar,4937
projector screen,895
tv stand table,1980
tv table,11298
????? ???????,0
???????,2
tv cabinet,1979
tv unit,1772
dry shampoo,10296
????? ????????,0
stand mixer,760
milk frother,945
????,12984
azelaic acid,335
gift for girls,6721
laptop backpack,33449
travel bags for men,29578
jacket,24099
organizer storage,38942
storage box,17428
storage,24619
bath mat,29249
slime,4006
jewellery,30506
earrings for ladies,44137
bracelet for ladies,32931
bracelet,25223
birthday gift,6847
gifts,14763
birthday gift for ladies,7455
gift set,10072
gift set for ladies,4849
gift box,1909
candle,15507
scented candle,1939
pokemon cards,2209
pokemon,9280
birthday card,17701
miniso,63
kuromi,3317
blind box,16544
blower hair dryer,800
babyliss,230
revlon,1164
hair,33016
ps4 games cd,262
switch games,966
harry potter,8159
sonic,9893
book,28759
call of duty,0
box,16457
cardboard boxes,4651
carton box,5829
chocolate box,3408
wooden box,3582
tape,23379
wig,36565
eyelashes,1928
lashes,28900
hair clip,45158
birthday candle,6496
brush,21703
makeup brush,30371
makeup set,20008
contour,8578
eyeshadow palette,1939
blackhead remover,5372
toilet brush,27686
makeup kit,12045
eyeshadow,19124
revolution,4548
wall sticker,53070
car cover,12652
tray,21399
glue stick,3417
uno,1172
